date,open,high,low,price_close,volume,close
2022-06-28,0.83,0.84,0.83,0.84,208639,0.84
2022-06-27,0.83,0.84,0.83,0.84,233148,0.84
2022-06-24,0.83,0.83,0.82,0.83,254773,0.83
2022-06-23,0.83,0.83,0.82,0.83,242069,0.83
2022-06-22,0.84,0.84,0.82,0.83,214429,0.83
2022-06-21,0.83,0.84,0.83,0.84,365930,0.84
2022-06-20,0.84,0.84,0.83,0.83,213117,0.83
2022-06-17,0.84,0.84,0.83,0.84,274465,0.84
2022-06-16,0.85,0.85,0.84,0.84,314592,0.84
2022-06-15,0.85,0.86,0.84,0.85,336723,0.85
2022-06-14,0.83,0.85,0.83,0.85,257117,0.85
2022-06-13,0.85,0.85,0.83,0.84,262953,0.84
2022-06-10,0.84,0.85,0.84,0.85,212802,0.85
2022-06-09,0.84,0.85,0.84,0.85,252358,0.85
2022-06-08,0.84,0.85,0.83,0.84,268066,0.84
2022-06-07,0.84,0.84,0.83,0.84,195137,0.84
2022-06-06,0.84,0.84,0.83,0.84,231472,0.84
2022-06-02,0.85,0.85,0.84,0.84,212971,0.84
2022-06-01,0.84,0.85,0.84,0.85,194879,0.85
2022-05-31,0.85,0.85,0.84,0.84,228625,0.84
2022-05-30,0.85,0.85,0.84,0.85,262579,0.85
2022-05-27,0.84,0.85,0.84,0.85,233431,0.85
2022-05-26,0.84,0.84,0.83,0.84,212482,0.84
2022-05-25,0.82,0.83,0.81,0.83,214399,0.83
2022-05-24,0.83,0.84,0.82,0.82,231006,0.82
2022-05-23,0.84,0.84,0.83,0.83,224291,0.83
2022-05-20,0.84,0.84,0.83,0.84,257236,0.84
2022-05-19,0.82,0.84,0.82,0.84,255944,0.84
2022-05-18,0.84,0.84,0.83,0.83,204201,0.83
2022-05-17,0.84,0.84,0.83,0.84,244268,0.84
2022-05-16,0.84,0.85,0.84,0.84,234792,0.84
2022-05-13,0.82,0.84,0.82,0.84,622197,0.84
2022-05-12,0.82,0.83,0.82,0.82,341099,0.82
2022-05-11,0.82,0.83,0.82,0.82,220075,0.82
2022-05-10,0.81,0.82,0.8,0.82,243735,0.82
2022-05-09,0.8,0.82,0.8,0.82,208237,0.82
2022-05-06,0.82,0.82,0.81,0.81,208302,0.81
2022-05-05,0.83,0.84,0.82,0.83,208370,0.83
2022-04-29,0.82,0.83,0.81,0.83,226394,0.83
2022-04-28,0.8,0.82,0.8,0.82,245408,0.82
2022-04-27,0.8,0.81,0.78,0.8,244171,0.8
2022-04-26,0.8,0.81,0.79,0.8,232869,0.8
2022-04-25,0.83,0.83,0.8,0.8,279553,0.8
2022-04-22,0.82,0.84,0.81,0.83,217030,0.83
2022-04-21,0.84,0.84,0.82,0.82,286175,0.82
2022-04-20,0.85,0.86,0.83,0.84,241139,0.84
2022-04-19,0.84,0.86,0.84,0.85,182973,0.85
2022-04-18,0.86,0.86,0.84,0.84,231688,0.84
2022-04-15,0.86,0.87,0.85,0.86,201207,0.86
2022-04-14,0.84,0.87,0.84,0.86,208689,0.86
2022-04-13,0.85,0.86,0.84,0.85,228376,0.85
2022-04-12,0.85,0.86,0.85,0.85,314505,0.85
2022-04-11,0.86,0.86,0.85,0.86,238755,0.86
2022-04-08,0.85,0.87,0.85,0.87,203779,0.87
2022-04-07,0.87,0.87,0.85,0.85,327672,0.85
2022-04-06,0.86,0.87,0.85,0.87,211071,0.87
2022-04-01,0.84,0.86,0.83,0.86,189964,0.86
2022-03-31,0.83,0.85,0.83,0.84,237093,0.84
2022-03-30,0.82,0.83,0.82,0.83,139096,0.83
2022-03-29,0.82,0.82,0.81,0.82,174712,0.82
2022-03-28,0.8,0.82,0.8,0.82,199041,0.82
2022-03-25,0.8,0.81,0.8,0.8,122997,0.8
2022-03-24,0.81,0.81,0.8,0.8,116308,0.8
2022-03-23,0.8,0.81,0.8,0.81,166060,0.81
2022-03-22,0.79,0.81,0.79,0.8,135627,0.8
2022-03-21,0.8,0.8,0.79,0.79,106287,0.79
2022-03-18,0.77,0.8,0.77,0.8,221593,0.8
2022-03-17,0.77,0.78,0.76,0.77,154002,0.77
2022-03-16,0.75,0.77,0.73,0.76,148744,0.76
2022-03-15,0.79,0.79,0.75,0.75,117078,0.75
2022-03-14,0.8,0.81,0.79,0.79,131456,0.79
2022-03-11,0.78,0.81,0.78,0.81,136307,0.81
2022-03-10,0.81,0.82,0.79,0.8,125532,0.8
2022-03-09,0.81,0.81,0.77,0.8,164682,0.8
2022-03-08,0.83,0.83,0.8,0.81,126394,0.81
2022-03-07,0.84,0.84,0.83,0.83,102429,0.83
2022-03-04,0.84,0.84,0.83,0.84,149590,0.84
2022-03-03,0.84,0.85,0.84,0.84,130598,0.84
2022-03-02,0.83,0.83,0.82,0.83,154975,0.83
2022-03-01,0.82,0.83,0.82,0.83,139454,0.83
2022-02-28,0.81,0.82,0.81,0.82,133682,0.82
2022-02-25,0.82,0.83,0.81,0.82,96021,0.82
2022-02-24,0.83,0.83,0.81,0.82,108227,0.82
2022-02-23,0.84,0.84,0.83,0.84,134017,0.84
2022-02-22,0.85,0.85,0.84,0.84,145404,0.84
2022-02-21,0.85,0.85,0.84,0.85,87153,0.85
2022-02-18,0.83,0.85,0.83,0.85,109507,0.85
2022-02-17,0.83,0.84,0.83,0.83,56061,0.83
2022-02-16,0.83,0.83,0.83,0.83,45019,0.83
2022-02-15,0.83,0.83,0.82,0.82,73943,0.82
2022-02-14,0.85,0.88,0.83,0.83,58147,0.83
2022-02-11,0.85,0.86,0.85,0.85,119080,0.85
2022-02-10,0.84,0.85,0.83,0.85,85349,0.85
2022-02-09,0.83,0.84,0.83,0.83,58277,0.83
2022-02-08,0.81,0.83,0.81,0.83,86440,0.83
2022-02-07,0.79,0.81,0.79,0.81,40293,0.81
2022-01-28,0.8,0.8,0.79,0.79,58655,0.79
2022-01-27,0.8,0.81,0.8,0.8,69186,0.8
2022-01-26,0.8,0.81,0.8,0.81,55176,0.81
2022-01-25,0.82,0.82,0.8,0.8,36616,0.8
2022-01-24,0.83,0.83,0.81,0.82,59143,0.82
2022-01-21,0.83,0.83,0.82,0.82,64965,0.82
2022-01-20,0.84,0.84,0.83,0.83,65803,0.83
2022-01-19,0.82,0.84,0.82,0.84,97117,0.84
2022-01-18,0.81,0.82,0.81,0.82,63537,0.82
2022-01-17,0.81,0.82,0.8,0.81,45345,0.81
2022-01-14,0.84,0.84,0.81,0.81,118698,0.81
2022-01-13,0.83,0.84,0.82,0.84,83799,0.84
2022-01-12,0.83,0.83,0.82,0.83,27315,0.83
2022-01-11,0.83,0.84,0.83,0.83,50064,0.83
2022-01-10,0.83,0.83,0.82,0.83,69076,0.83
2022-01-07,0.82,0.83,0.82,0.83,49588,0.83
2022-01-06,0.81,0.82,0.81,0.82,47527,0.82
2022-01-05,0.81,0.81,0.81,0.81,57766,0.81
2022-01-04,0.8,0.81,0.8,0.81,56662,0.81
2021-12-31,0.79,0.8,0.79,0.8,70693,0.8
2021-12-30,0.79,0.79,0.79,0.79,40024,0.79
