date,open,high,low,close,volume
2010-10-12,2222.975,2256.023,2211.162,2250.154,1863045600
2010-10-13,2255.099,2276.048,2245.717,2275.284,1808492400
2010-10-14,2288.792,2326.511,2283.181,2298.889,2519840400
2010-10-15,2290.659,2393.307,2285.725,2392.98,2912806000
2010-10-18,2404.731,2451.545,2386.933,2389.46,3148225800
2010-10-19,2388.825,2429.136,2366.671,2429.136,2035218400
2010-10-20,2386.681,2453.81,2379.603,2426.508,2477544800
2010-10-21,2433.487,2441.876,2384.574,2403.125,1833918000
2010-10-22,2396.524,2416.431,2385.673,2400.563,1440724100
2010-10-25,2402.991,2450.974,2381.211,2449.892,1839875600
2010-10-26,2458.132,2468.487,2418.269,2433.818,1831273000
2010-10-27,2428.835,2455.836,2411.613,2418.416,1882167600
2010-10-28,2410.553,2429.704,2397.657,2417.031,1571432300
2010-10-29,2417.143,2417.263,2372.135,2381.805,1499275900
2010-11-01,2386.229,2445.37,2385.362,2445.352,1776335200
2010-11-02,2457.814,2471.728,2422.899,2438.894,2226530800
2010-11-03,2437.502,2452.046,2412.999,2420.324,1948791800
2010-11-04,2425.196,2453.525,2422.201,2452.976,2090045200
2010-11-05,2479.456,2489.687,2457.597,2480.473,2357414000
2010-11-08,2487.57,2508.212,2478.648,2505.51,2141554600
2010-11-09,2503.611,2503.611,2466.38,2486.005,1779421800
2010-11-10,2476.995,2476.995,2444.731,2461.648,1810164000
2010-11-11,2456.588,2507.237,2455.636,2479.993,2281434800
2010-11-12,2464.704,2476.277,2348.698,2352.498,2550678800
2010-11-15,2351.499,2369.302,2304.885,2367.733,2393270600
2010-11-16,2362.348,2362.348,2266.645,2270.966,1730708000
2010-11-17,2246.513,2269.81,2227.301,2235.988,1256304700
2010-11-18,2254.481,2264.129,2231.285,2255.194,948164700
2010-11-19,2264.822,2272.675,2208.578,2271.265,1188062300
2010-11-22,2249.123,2270.114,2238.804,2250.271,1174472500
2010-11-23,2239.708,2239.708,2181.31,2217.856,1233845500
2010-11-24,2186.306,2236.561,2186.306,2229.404,1568573000
2010-11-25,2238.234,2256.033,2219.217,2255.899,1351987100
2010-11-26,2252.165,2258.388,2222.637,2238.754,1093745300
2010-11-29,2230.481,2237.441,2211.136,2225.578,905394200
2010-11-30,2224.594,2238.664,2147.382,2191.739,1338042800
2010-12-01,2182.97,2209.322,2173.564,2202.151,773035900
2010-12-02,2231.529,2239.154,2216.525,2219.259,1045791900
2010-12-03,2220.603,2221.743,2197.028,2212.737,674783200
2010-12-06,2221.142,2228.994,2201.469,2221.232,752435800
2010-12-07,2209.532,2238.477,2178.475,2229.432,787836400
2010-12-08,2225.528,2230.314,2200.231,2203.255,711708900
2010-12-09,2194.363,2211.479,2174.226,2174.52,824593800
2010-12-10,2167.791,2207.136,2162.738,2197.742,678673300
2010-12-13,2203.866,2261.571,2201.725,2260.526,1206543700
2010-12-14,2269.754,2274.562,2252.175,2262.665,1184163500
2010-12-15,2264.189,2278.991,2249.612,2254.565,1120685100
2010-12-16,2252.886,2263.208,2242.108,2248.252,757939600
2010-12-17,2244.881,2250.624,2233.516,2243.858,618065400
2010-12-20,2252.491,2258.592,2180.736,2213.377,1006916200
2010-12-21,2216.903,2263.549,2212.229,2259.117,1052586600
2010-12-22,2263.364,2268.238,2227.092,2238.075,981719200
2010-12-23,2235.719,2264.791,2226.474,2231.624,871057500
2010-12-24,2222.427,2232.55,2203.346,2220.504,729621000
2010-12-27,2225.022,2256.92,2181.207,2186.571,1051685300
2010-12-28,2177.573,2186.441,2148.358,2148.912,814854900
2010-12-29,2151.96,2160.88,2130.324,2151.082,599605200
2010-12-30,2150.9,2167.864,2128.035,2154.345,891385400
2010-12-31,2154.486,2185.081,2153.749,2183.662,882367300
2011-01-04,2201.958,2230.884,2190.678,2224.388,1299361300
2011-01-05,2208.936,2224.175,2203.162,2219.236,1036845200
2011-01-06,2219.478,2232.488,2206.21,2209.203,785695000
2011-01-07,2206.325,2252.262,2193.527,2223.268,1469253100
2011-01-10,2215.939,2234.732,2190.485,2193.426,1011566300
2011-01-11,2188.448,2219.443,2185.16,2217.233,886936000
2011-01-12,2225.118,2235.453,2201.984,2227.248,843919200
2011-01-13,2235.588,2240.452,2215.624,2230.38,935389500
2011-01-14,2222.008,2222.008,2192.184,2198.055,856852100
2011-01-17,2187.789,2197.366,2131.434,2137.477,1098112500
2011-01-18,2130.866,2142.012,2120.956,2137.849,652786700
2011-01-19,2137.378,2174.119,2128.809,2172.561,808583500
2011-01-20,2167.187,2167.187,2109.989,2110.721,820845100
2011-01-21,2106.795,2170.525,2106.795,2139.695,939887800
2011-01-24,2140.66,2153.438,2119.23,2123.041,850289100
2011-01-25,2120.755,2134.96,2107.652,2119.488,818195800
2011-01-26,2120.287,2138.317,2117.782,2135.51,597380900
2011-01-27,2123.345,2172.916,2114.093,2168.647,1035006900
2011-01-28,2163.98,2173.538,2152.965,2168.476,691760500
2011-01-31,2168.617,2193.215,2166.698,2190.83,863885100
2011-02-01,2195.607,2201.685,2187.474,2196.315,659122900
2011-02-09,2179.689,2202.157,2164.286,2167.783,765452700
2011-02-10,2165.697,2205.052,2158.927,2204.337,879450300
2011-02-11,2201.966,2210.737,2192.638,2205.43,1005695800
2011-02-14,2204.024,2291.143,2204.024,2285.904,2014947600
2011-02-15,2289.308,2312.493,2279.023,2280.605,1896403600
2011-02-16,2280.964,2302.252,2269.832,2301.68,1452355300
2011-02-17,2306.37,2312.943,2282.535,2298.445,1442662600
