date,close
2020-11-03,403.43
2020-11-04,403.25
2020-11-05,407.15
2020-11-08,406.55
2020-11-09,396.23
2020-11-10,395.17
2020-11-11,394.7
2020-11-12,396.15
2020-11-15,396.02
2020-11-16,395.13
2020-11-17,393.04
2020-11-18,391.16
2020-11-19,391.26
2020-11-22,391.56
2020-11-23,383.05
2020-11-24,378.61
2020-11-25,378.91
2020-11-26,378.83
2020-11-29,369.7
2020-11-30,372.24
2020-12-01,377.72
2020-12-02,381.7
2020-12-03,382.08
2020-12-06,381.87
2020-12-07,386.96
2020-12-08,384.9
2020-12-09,381.19
2020-12-10,380.97
2020-12-13,380.82
2020-12-14,383.5
2020-12-15,386.08
2020-12-16,388.24
2020-12-17,391.19
2020-12-20,396.35
2020-12-21,390.41
2020-12-22,389.13
2020-12-23,390.66
2020-12-24,392.37
2020-12-27,392.63
2020-12-28,390.42
2020-12-29,390.46
2020-12-30,392.56
2021-01-03,397.93
2021-01-04,400.14
2021-01-05,400.87
2021-01-06,398.1
2021-01-07,395.25
2021-01-10,384.25
2021-01-11,387.62
2021-01-12,386.87
2021-01-13,384.11
2021-01-14,385.53
2021-01-17,384.68
2021-01-18,384.82
2021-01-19,386.43
2021-01-20,389.73
2021-01-21,387.96
2021-01-24,386.27
2021-01-25,387.05
2021-01-26,384.92
2021-01-27,383.4
2021-01-28,385.0
2021-01-31,389.02
2021-02-01,386.19
2021-02-02,382.34
2021-02-03,379.48
2021-02-04,375.33
2021-02-07,378.69
2021-02-08,383.02
2021-02-09,383.07
2021-02-17,371.86
2021-02-18,370.31
2021-02-21,374.42
2021-02-22,378.12
2021-02-23,377.44
2021-02-24,373.86
2021-02-25,368.31
2021-02-28,366.56
2021-03-01,360.1
2021-03-02,361.74
2021-03-03,358.59
2021-03-04,355.19
2021-03-07,359.17
2021-03-08,357.71
2021-03-09,361.36
2021-03-10,364.52
2021-03-11,359.72
2021-03-14,362.91
2021-03-15,363.58
2021-03-16,364.73
2021-03-17,367.85
2021-03-18,366.07
2021-03-21,364.38
2021-03-22,365.71
2021-03-23,365.09
2021-03-24,365.92
2021-03-25,364.96
2021-03-28,365.24
2021-03-29,360.76
2021-03-30,356.58
2021-03-31,363.99
2021-04-01,368.38
2021-04-05,366.46
2021-04-06,367.78
2021-04-07,368.79
2021-04-08,370.57
2021-04-11,368.5
2021-04-12,365.07
2021-04-13,368.75
2021-04-14,368.54
2021-04-15,371.78
2021-04-18,374.78
